Timestamp (ms),Difficulty,Performance,Channel 1,Channel 2,Channel 3,Channel 4
1492736024340,0,0,34.09331917682177,34.354821145579756,34.15869466901127,36.33242978431199
1492736024340,0,0,522.0732185137183,518.8529293213558,515.9152073237002,549.3050885608119
1492736024387,0,0,352.70033460498144,348.6929408842724,349.29755659267903,361.6570354520914
1492736024387,0,0,338.31575341277045,316.7174084930806,314.1352115341125,328.49249382585066
1492736024387,0,0,319.0647818273737,286.2950770629393,282.1999811485883,295.5608267837701
1492736024387,0,0,270.50703151760814,253.9997308185757,249.7969079402542,254.13786704961024
1492736024387,0,0,194.44403048608513,185.1212535588303,183.60858962505438,183.01438117670386
1492736024387,0,0,175.51257273127766,153.7161210120957,153.27999430255363,158.86525247689534
1492736024387,0,0,134.6866378252123,126.78475957599568,126.85029209237817,131.32394398368913
1492736024387,0,0,87.48250242681596,100.9964591951854,101.33578870371548,99.56415459214921
1492736024387,0,0,66.88584252199318,73.30587546997992,73.40381855419992,70.08661083624642
1492736024388,0,0,64.11434473486432,45.686566828430216,45.02961785774302,44.320977462678144
1492736024388,0,0,42.14478324551192,21.87159827120979,20.6470007867822,16.389475814173238
1492736024435,0,0,-1.3469771570948907,1.5465018622929065,0.03146929680541888,-14.128541855010916
1492736024437,0,0,-192.32825242386428,-174.03494574429675,-174.46898886096807,-196.8006190588305
1492736024437,0,0,-192.76295651066152,-187.39345862345377,-188.22808795204762,-207.06119164651088
1492736024478,0,0,-305.38529469126115,-282.42911865739677,-278.25457042831835,-305.0659730324162
1492736024524,0,0,-288.1949200935568,-285.46193347837743,-284.74221419306855,-308.6230297020899
1492736024525,0,0,-312.33794167059136,-288.9587863136935,-290.84846245050454,-315.85023378826645
1492736024525,0,0,-307.1982309266356,-292.0849302504362,-292.6439529876592,-314.780024372749
1492736024525,0,0,-290.2008581102597,-293.9352624582925,-294.26492926905877,-313.4281111244943
1492736024525,0,0,-294.6522204170564,-293.1248089628546,-294.22165786415366,-316.2993601652085
1492736024525,0,0,-316.46647222694094,-292.02619350737314,-293.734373841523,-320.72007043932524
1492736024525,0,0,-320.2612053045088,-293.19097714152275,-294.9212480770443,-319.5639481688838
1492736024525,0,0,-303.14106829175984,-295.0883457490331,-296.5938205124661,-312.40685207765176
1492736024525,0,0,-301.9889482857871,-294.74479299302516,-296.00954025914695,-307.5464696438965
1492736024526,0,0,-327.9856049409365,-292.98212523837856,-293.77849874615845,-309.83644033477157
1492736024526,0,0,-344.7411665276836,-292.8578565890409,-292.93411806070014,-312.9039531792413
1492736024576,0,0,-330.9830980886963,-293.6504286233675,-293.3773940108011,-309.4575629908755
1492736024576,0,0,-320.17590751502644,-284.856172221952,-287.55942182512797,-298.9812470578493
1492736024576,0,0,-324.72490648383274,-279.2872144374754,-284.1968261402401,-295.97095631117946
1492736024576,0,0,-307.244938597201,-277.2236022532144,-283.0598300208595,-289.35760922312465
1492736024576,0,0,-289.4629968827329,-275.68184138201525,-280.3273431207597,-282.42449648817865
1492736024576,0,0,-295.9074900614279,-271.4024605138358,-273.34435492553,-279.7174733385434
1492736024576,0,0,-307.74116704374205,-265.91338331468717,-265.8060516372396,-277.3711406776526
1492736024576,0,0,-296.6614932051034,-262.41302896333826,-262.3789181877199,-270.032931592217
1492736024576,0,0,-276.6539854387614,-260.491486708997,-261.34944896005317,-262.27921824008945
1492736024577,0,0,-278.08017557429713,-257.15040485240746,-257.6018674817728,-262.1708293099281
1492736024577,0,0,-289.8352849960044,-251.9636137329408,-251.04115908252226,-267.2756669495309
1492736024621,0,0,-276.3016888506282,-247.74407581585666,-246.54829447969234,-267.3323170706367
1492736024621,0,0,-224.5139147274399,-240.64694847804554,-243.7750928017956,-248.75455219186426
1492736024621,0,0,-235.26413765747645,-233.24486308902272,-237.49811606461964,-243.04856063203715
1492736024621,0,0,-239.71793880333988,-226.56153317463458,-229.4609677241202,-238.946927810974
1492736024622,0,0,-221.0634746545693,-222.6083269694667,-223.0946227318582,-232.504173808689
1492736024622,0,0,-204.61039406555994,-218.47321690741683,-216.96841152438415,-226.14533967087488
1492736024623,0,0,-207.83341990572546,-204.26280856141187,-200.01202404403517,-214.31710222798034
1492736024624,0,0,-188.488149354828,-198.29356719443945,-193.70137933362975,-199.41396479522984
1492736024624,0,0,-169.32120364509618,-193.33489493968577,-188.3588745507376,-183.17056916585076
1492736024624,0,0,-172.95380713607818,-187.88977848627528,-181.39715509543663,-173.68461355405492
1492736024665,0,0,-182.66545578502365,-181.87135213031294,-173.65260088876502,-169.03811596645232
1492736024668,0,0,-85.69855449482628,-103.9234909021403,-101.43163583478649,-96.97533493389312
1492736024711,0,0,-86.56520406417835,-95.31496980440363,-92.99236068706931,-87.03263285201966
1492736024711,0,0,-73.0780939616221,-81.58602227768766,-77.65181527359377,-70.12014173140984
1492736024711,0,0,-47.44164345633506,-76.2110446688781,-72.74160776432679,-62.876846789037714
1492736024712,0,0,-43.85154752022381,-68.2619135756706,-66.1233222325625,-60.8457295511592
1492736024712,0,0,-53.761288940495255,-59.926802502289554,-58.21568733811277,-58.35636074108335
1492736024712,0,0,-46.264516313413516,-54.547804527552124,-51.46421225869661,-48.162986945279556
1492736024712,0,0,-24.65236928556864,-50.67536369423719,-45.66508724846288,-34.67876347779014
1492736024712,0,0,-18.428233755396164,-44.23442527000806,-38.9888527720009,-27.936367985861033
1492736024712,0,0,-27.709018964215886,-35.177703498722416,-32.08979493358811,-26.792885312065415
1492736024756,0,0,7.558453880869131,-19.846181821099208,-23.607684992162426,-0.21084408011423506
1492736024756,0,0,4.1476631667353345,-10.938067518274138,-16.451191195367777,3.388056573075634
1492736024756,0,0,1.4883678402102944,-1.396077362617035,-6.2766709064522175,0.7005840805846191
1492736024756,0,0,6.899969263023731,2.4851795164532398,2.1053978885948013,-5.7580665303185725
1492736024756,0,0,9.647458127204665,2.551478253864694,7.700514406862606,-11.007440735995125
1492736024757,0,0,6.290443446778205,5.3431200825217715,13.941718939832306,-9.166605511903256
1492736024757,0,0,9.750111595451088,11.05535599524222,21.837155051697863,2.1816292074469743
1492736024757,0,0,26.125694291787262,15.69167658239077,28.030817407023854,18.99911723122684
1492736024757,0,0,40.379943579489584,20.07279030410168,30.840220942587884,32.779423233388464
1492736024757,0,0,40.78037201862009,27.786967888901337,33.05425068484988,39.855708141647966
1492736024757,0,0,42.776987573169436,37.47181202385214,37.31538048776097,47.03517511781736
