Timestamp (ms),Difficulty,Performance,Channel,1 hz,2 hz,3 hz,4 hz,5 hz,6 hz,7 hz,8 hz,9 hz,10 hz,11 hz,12 hz,13 hz,14 hz,15 hz,16 hz,17 hz,18 hz,19 hz,20 hz,21 hz,22 hz,23 hz,24 hz,25 hz,26 hz,27 hz,28 hz,29 hz,30 hz,31 hz,32 hz,33 hz,34 hz,35 hz,36 hz,37 hz,38 hz,39 hz,40 hz,41 hz,42 hz,43 hz,44 hz,45 hz,46 hz,47 hz,48 hz,49 hz,50 hz,51 hz,52 hz,53 hz,54 hz,55 hz,56 hz,57 hz,58 hz,59 hz,60 hz,61 hz,62 hz,63 hz,64 hz,65 hz,66 hz,67 hz,68 hz,69 hz,70 hz,71 hz,72 hz,73 hz,74 hz,75 hz,76 hz,77 hz,78 hz,79 hz,80 hz,81 hz,82 hz,83 hz,84 hz,85 hz,86 hz,87 hz,88 hz,89 hz,90 hz,91 hz,92 hz,93 hz,94 hz,95 hz,96 hz,97 hz,98 hz,99 hz,100 hz,101 hz,102 hz,103 hz,104 hz,105 hz,106 hz,107 hz,108 hz,109 hz,110 hz,111 hz,112 hz,113 hz,114 hz,115 hz,116 hz,117 hz,118 hz,119 hz,120 hz,121 hz,122 hz,123 hz,124 hz,125 hz,126 hz,127 hz,128 hz
1500407595145,50,58,1,0.20389418107676405,0.26540846254825934,0.25089742894402667,0.23443538108705814,0.2039113065253635,0.23627752127376594,0.23429181047595624,0.24294440902714923,0.23057931566105533,0.22877427783253285,0.22462636041316325,0.23413824000674346,0.23273231463651825,0.20481756583038185,0.19911889456666967,0.22072171664670948,0.23608136125489704,0.21534102412684084,0.22223953421726467,0.2091509628879479,0.1450082208175681,0.20920438165533056,0.2247268749756127,0.22499989865174636,0.1890213687997331,0.18403364003286773,0.16875418927303226,0.12493901581684108,0.1758571911439984,0.18687753568572296,0.16806048332331136,0.13576822081000334,0.19290813042703447,0.21441618431081083,0.21036465607291666,0.18696396998321393,0.19580473588958822,0.16815919505502,0.167129853454474,0.16114975247006313,0.18955271482716435,0.2157739231564765,0.2042539306913988,0.19173697304547152,0.19707523595845464,0.1651119647270322,0.19785742411366528,0.19327591814037995,0.19185300371337372,0.17834654615872828,0.1940192731129383,0.21087995126458856,0.20899769294190582,0.09998726874905026,0.18611302534613225,0.17763856309552456,0.1295300707757761,0.03142733278830616,0.012309060615927436,0.029256677536642205,0.02888649731033897,0.03652369994121987,-0.03302542339642105,0.0718153506721817,0.12567404077969505,0.15642407276472853,0.025496434635563437,0.15309887773096081,0.177001072168314,0.19560817360955013,0.18570213674073938,0.18553598555308443,0.21003896157901575,0.20831209862324984,0.18223942058300696,0.1741390419616475,0.1269973970345734,0.1425877953763912,0.1602889880081259,0.1762445333898258,0.1651486785676082,0.17720112767593732,0.18318817072508473,0.13873048483563177,0.12454404507362238,0.128990877975382,0.14126961866022147,0.17955347585849785,0.1731575292762121,0.129868951310467,0.08442909522113957,0.15725959038018136,0.1763765737365596,0.17157152247406654,0.16457782324885167,0.15859936249599665,0.13705784276057018,0.14511032990404055,0.13037428218860822,0.1522223045909008,0.15777870484917111,0.14672875248394773,0.11882533632496808,0.12099324550265737,0.10938219545306951,0.13664033879742862,0.1082347466840348,0.10751450332759979,0.05779908382366229,0.10234142879351946,0.039829858455170605,0.07099063174965128,0.07316994086457454,0.09586311452275202,0.0968783141840385,0.10330918822238647,0.05929888378231143,0.09998762634771735,0.12239697794106688,0.08560483552737835,0.0723801581411427,0.04003037633587377,0.07124759636942016,0.04790085368595199,0.05849456624612644,0.017562111192925535,0.07310604712857055,0.07559779257581659,
1500407595146,50,58,2,0.14490831572868423,0.2531355560503189,0.22719832529656298,0.2178295799792383,0.22010686506197558,0.1861986686569283,0.18657766981834514,0.17041398631130558,0.14484353048113344,0.17902741621140178,0.18468738442325439,0.183761693385812,0.17446164102021894,0.16600385850811794,0.17408887481586335,0.17672782742828172,0.12969006137449315,0.15396759309563127,0.17503766728298428,0.1586420890035955,0.1302158357055318,0.14344439638387246,0.15939979329999873,0.17482472795750878,0.10703740037422942,0.124490473206279,0.0986523389522064,0.12505532845025658,0.13076705798062416,0.1295175628718813,0.1101006297396226,0.16452501546311563,0.16198502943432094,0.14842595587404764,0.13228714654230206,0.12008713829476965,0.057420528716789265,0.11652145283250134,0.13465197799906575,0.1550385823455043,0.13071966271184562,0.0951291105527293,0.14270779260294367,0.1011776465411924,0.10023970527434571,0.130560415401821,0.13688883606115831,0.1288422027471339,0.03574638974013041,0.12473411228034778,0.11890068900525608,0.12550964635141898,0.09785058759483255,0.12236658457132614,0.12259904578734224,0.11823167393038023,0.10859377406183465,0.048510583985383,-0.007297248863697299,-0.028751807360103826,-0.026945681987015045,-0.03021553467950614,-0.04513342217473015,0.006280640744230868,0.09809826454740354,0.09319323042751015,0.11950076581127082,0.10969404230229707,0.09488989382515509,0.08093699415777493,0.0366533416807722,0.12427407748271424,0.14849245514816062,0.1420944828320192,0.11245816233179022,0.13034777374843481,0.10902562931725646,0.1337932523423684,0.14927570420738118,0.14070099836733546,0.06221943165731564,0.127279866341976,0.1371573658003215,0.11025570444220614,0.05328792661510624,0.10617019923276627,0.1219741199163874,0.09833552046489329,0.06392960735467802,0.05564326637854041,0.04818132254528057,0.07825475336192379,0.10107797226485345,0.1062311492498185,0.12587536652559703,0.09852835155924898,0.08607079620437082,0.1120227664092068,0.04289641897944427,0.07871034737309379,0.08534900025578561,0.044606325789325586,0.11281847711678003,0.08825172050693095,0.06647112344023848,0.07694389770715017,0.08850952670913624,0.08876531078618202,0.09133397223424457,0.09563799154279333,0.07853823926936332,0.04231416188252968,0.03004795940022611,0.044871763851223996,0.028091055761419674,0.05513374825974533,-8.751812532617322E-4,0.0023349349522522366,0.04933584498180354,0.04033125001177849,0.024718900696732687,0.05968476072093578,0.037499891501189764,0.04427150261738956,-0.01743376441051465,0.052283146445301576,0.033282308603608264,-0.025522813555698638,
1500407595147,50,58,3,0.20901859962088037,0.22352268516352597,0.21594567556210992,0.19065756735370235,0.19346475752758616,0.18193516391390335,0.1493238867459712,0.16716011919322502,0.1188375156356273,0.12389043431991047,0.15826711265544469,0.15560331468630992,0.13851382438536086,0.15874044458174752,0.14685817491502162,0.1367206857928646,0.15759043925520902,0.13665094675217387,0.1464644562673762,0.14605450280148113,0.14199983592655185,0.09716449801249548,0.14957327942423954,0.17002104322654235,0.1521826830845517,0.11087444430460672,0.11146286890224652,0.11207962618590046,0.13289858738750424,0.1322144455937995,0.11501112199403887,0.14045641163936837,0.1477657197521212,0.09682296250268788,0.13453358739621016,0.15004671476731518,0.16021583072779103,0.16155878834577095,0.1406552752247032,0.14760649413577023,0.13360593937587587,0.12247695509541941,0.13004650377138555,0.14207503289991535,0.1244713950400362,0.10584690749043776,0.1397107945218732,0.14140784564157252,0.13044778356716982,0.15687267703572613,0.14879585950157395,0.10806469887692405,0.12599685850259837,0.14630907073410876,0.14059030300741526,0.08979819295684612,0.04331271201180678,0.03546633507087821,-0.02875460076622715,-0.022782002407862496,-0.022317028850585542,-0.02411188945004895,0.014473263841657267,0.018288473141379304,0.07631871041623443,0.08450079727470353,0.0669685340810682,0.11475521338457728,0.08208789251643403,0.05192563529693446,0.11618210798014342,0.09251114750545902,0.11282600692493476,0.1446140318197014,0.116433202621859,0.1063691633075238,0.11687784767240542,0.13630651604920893,0.10501540108136098,0.1166779978102179,0.14156283645916584,0.155353788124428,0.14720745610981698,0.1157590207764168,0.10113923321668965,0.10081651256780773,0.09214115980151671,0.08527312108724533,0.12173649231541368,0.11629758801531438,0.1082712450181923,0.1266384372399608,0.12185439589378688,0.12336984445838817,0.11418269966846639,0.07718287973940806,0.11837692260940813,0.12816916033099385,0.08846363202689934,0.02246401122663095,0.08636015361397922,0.10214182636163507,0.04589856251585633,0.07372962219183384,0.06512014727418877,0.08997375654783304,0.09432663388736752,0.09479149662009088,0.0521286934679215,-0.005296412839936652,0.06954178758596433,0.06381480632004308,0.049500035700643305,0.043535570843889426,0.020410235615995694,0.04063453496845755,0.05195166104025617,0.018977660227829117,0.05946465858013365,0.04696574431992418,0.01753776960262255,0.024159807645010488,0.02031478977427508,0.0335692347688208,0.04842424440997302,0.03281390144450974,0.04322069419748313,0.027474837856147728,
1500407595149,50,58,4,0.2661742504915424,0.3221215404821303,0.2952964492476395,0.27073910667043116,0.30654681728011535,0.2840063805302743,0.13926951692920103,0.25984257800520777,0.25785374360401564,0.2659766748898915,0.27104737852188493,0.22771601086164864,0.20177511027446388,0.2291793410565622,0.1654382307694461,0.2005851361982786,0.20656621932651853,0.154526929655486,0.2221766395919993,0.21902123303481286,0.21032641735970375,0.2044833349271198,0.20967590819652973,0.1768000529241594,0.1367040410670423,0.18522125580930365,0.1954154659297896,0.18643710591738047,0.1988155588554932,0.18795246323593673,0.1525688361974407,0.16294722635534262,0.2059082324536859,0.19338545031690996,0.166101840640776,0.19486358802068554,0.1935009247290257,0.08905255283793156,0.13366013714929945,0.16185360967891088,0.17655091134608583,0.18992596203583895,0.17718054519455564,0.1912397383095607,0.17156955165902504,0.15856384232062032,0.17137549794059848,0.13100815050800663,0.16680499666649945,0.18904405399164426,0.18206801488754115,0.17201798398986107,0.17264151818755596,0.16176076093106215,0.16060086094579074,0.1161539729472892,0.13365043910890412,-0.005598531765547804,0.055584589320996455,0.05714065884798371,0.05506980814372089,0.05206807147858824,0.03263067764656759,0.09142452280484813,0.06596514538014034,0.08924163673047586,0.12113717958117927,0.07498738989550784,0.14996872285666613,0.1507429066435091,0.13249023178142683,0.1342514211786267,0.12818090009076763,0.11142860147376929,0.15327616217372197,0.16931625502898862,0.15821584148513773,0.1567681595839711,0.10096539667856033,0.07356823629316046,0.11485993272043749,0.15240839504935672,0.18101999742484381,0.17667617705173944,0.07531323487737149,0.14959903023876212,0.10475875614088888,0.1313652717684931,0.14862424516687633,0.156992468692157,0.1355828526758752,0.16319346213526525,0.14754569112054144,0.15760376765862297,0.1504688135319835,0.14607680021850314,0.13095621523401754,0.13242305961830242,0.08569426936284351,0.11904247644119041,0.12122946508425607,0.13764257438854782,0.13483514589549556,0.12872048804928,0.13095962926824684,0.13501437683990455,0.08869476779615867,0.09232699581315681,0.1153637590352794,0.10274628692226309,0.09115559051107903,0.08067718366167384,0.09422010472692378,0.08549597924674775,0.10013074809154232,0.11211296933314097,0.07690722964378076,0.07890764732383604,0.08440131025293776,0.04411065564307157,0.06492083142721944,0.029964199117055463,0.07899832196959417,0.049793862784310125,0.08058109946017186,-0.008966341144928978,0.07889370667570167,0.06564732228653504,
1500407596198,50,58,1,0.4511358038240255,0.5219281159385725,0.49565371881055686,0.4267036401066953,0.4097900543312972,0.39873614385858047,0.4275763212245969,0.42637427753901325,0.39953072414061735,0.4519932449552215,0.42612726439927207,0.3538637880513065,0.4287714354362864,0.4376053980755888,0.4221054513831623,0.43778608924215623,0.36492277983174387,0.4021978113353134,0.4047665498183111,0.4102441234235269,0.35081188210966696,0.36205296370360635,0.4095901313510984,0.40351869839327764,0.3685897955199645,0.3921327766160781,0.3781888391780816,0.30334749500661584,0.25231489914316574,0.3949429876473697,0.38308119003985175,0.3458686965592858,0.36326402507578814,0.385805756450564,0.3533926491253392,0.38692562583446566,0.39628136746639997,0.34251409709347636,0.29799768411158584,0.3317883243562654,0.38058288269796253,0.39395460815984273,0.4022910509142156,0.38628726164701427,0.3762788784296436,0.3534570068804392,0.35766773106977057,0.3921449822456013,0.37816160371230545,0.3524281487749018,0.3552935255013427,0.40204340632402513,0.4034847861772402,0.27455394045743053,0.3649851435305356,0.3412482179618846,0.22068732747921116,0.05824388581825629,0.053726435777721585,0.032128933937172935,0.03467307606752954,0.0423533944905189,-0.019173944728146437,0.1621109824594722,0.2671101710150019,0.316221859969332,0.14091746777893194,0.2941955588187111,0.3268336977368169,0.3567916983782135,0.35307231450148924,0.3120112547897099,0.36395720374354124,0.39208840610937984,0.36613707673091767,0.3353690734142893,0.2912221067524056,0.3286492290197201,0.31073911448454894,0.32181671984088556,0.313336464069759,0.3256069046553834,0.34573971756212807,0.2963888711281538,0.22207181150511152,0.2549055611220682,0.27318818802575845,0.30790302117026697,0.29725438677426635,0.28824754788022044,0.21559974490179706,0.3251923841327769,0.34980372317713165,0.2929085946343034,0.3051162548233587,0.26743282759248066,0.26077584768651335,0.2883121838966377,0.2840107916859088,0.24874167764529717,0.267559910503826,0.26490333846282965,0.1327984879006167,0.2208029565943964,0.00891458311492883,0.1864515461653961,0.21536802510736003,0.17285234630414656,0.12033308238547233,0.15110747518324516,0.12982964727527851,0.1727863805808257,0.14777761871096207,0.1976015921601153,0.18966447050694857,0.21033326628060145,0.14142868877805514,0.13880916360222134,0.1600665835964047,0.1671860909952468,0.13254714526532824,0.10907073300537365,0.06981584338730759,0.08091575510832232,0.10235317611334656,0.024322552818161175,0.11746810201370317,0.03463005683218811,
1500407596199,50,58,2,0.35196514497473885,0.4827444623799485,0.45089737676262753,0.3686852408397533,0.3379906947662657,0.354777053951327,0.3335259872525961,0.2803050616934022,0.2729490768209637,0.33984552468041773,0.30164017750511274,0.3381654344753775,0.3137393579805135,0.32532412885636675,0.3490107792267111,0.3298177792231929,0.2566786752924174,0.26134964604166233,0.3118096204477335,0.25221487293155676,0.2808780233928557,0.3168163251248967,0.2884126549119136,0.3063084494273589,0.22568042969071583,0.28221534583257213,0.2625770689528042,0.2870760445967961,0.2654630310026966,0.2474798736594261,0.1583201960606746,0.2900222303220066,0.293133256918921,0.2563915918716991,0.2813840070011289,0.20814640200441828,0.18331099522579372,0.24429387250068196,0.27604837822611916,0.28930764430657374,0.2766939678244825,0.19451095684166392,0.2804534575230798,0.2178381459667272,0.19712532496294316,0.24978499362251966,0.2780103444042811,0.2783905583967442,0.1564238722559085,0.23067542727208262,0.2219047214512619,0.2726198053748382,0.21593716130271687,0.2752176771485516,0.26592895493445606,0.20631516811019432,0.1709704859729066,0.09530844178303635,-0.04483679179908713,-0.14122519262331176,-0.13048638599931275,-0.13882840440727712,-0.06445082943179588,-0.00435161679255283,0.1629493651355217,0.18281732095089948,0.20225832775970157,0.13857484767999115,0.16623430134747302,0.200897210954617,0.09197363940747118,0.2226580365549354,0.22186735649605996,0.24203876772604227,0.2500764206491911,0.2591226066641257,0.1843978270202688,0.22708419500709542,0.24496673878373826,0.22860039703761212,0.1660681707001253,0.2426552108553745,0.23507902474241585,0.20415550166041987,0.16247246285594363,0.20442951911871804,0.2250507590068568,0.2107179093306073,0.16638575812946255,0.1673262790006504,0.17373106136102226,0.13682469757250454,0.20078155750235402,0.18226081689665724,0.17899868163845473,0.18612144517493237,0.20229559245567313,0.23231925247379176,0.1626996074619988,0.18707779462930146,0.17969073183505468,0.16121134645244378,0.18902771591743442,0.18544966755767348,0.1280555067066667,0.15354044050282015,0.1640381741876685,0.12306559808635811,0.14986601689343101,0.17015951886736627,0.11736579025371759,0.053758225682634705,0.08219477761731395,0.11044897685611095,0.08213593679256351,0.13135947545737553,0.02625618765823487,0.04330705687987939,0.09577258400564992,0.10482382803739805,0.08664236336398648,0.09656492262741682,0.07460157358715169,0.10983308731750027,0.012268013656720828,0.05070659469637266,0.014379802683040893,-0.09374804803557493,
1500407596200,50,58,3,0.3527167668718456,0.42766451379113224,0.40508236986773943,0.35690312992691375,0.24520814950706482,0.3425658637547609,0.3356376265684173,0.30996722817086164,0.26115837790314017,0.26768850481790585,0.27870301073319476,0.3150601054757166,0.23335825684872685,0.2632231960319963,0.295224135941864,0.27280119496169936,0.28431493739579866,0.28686751207059025,0.2638433196125036,0.27863174623491455,0.2937206419981888,0.25683406802033937,0.30089338814928046,0.3323513549412424,0.3000691744010974,0.25479930883972085,0.25246479273294564,0.2325520024307762,0.25188004699671807,0.24303552351828284,0.24861757745516,0.23933938095778623,0.26845770136699326,0.18855870747941836,0.30173267628632,0.3103516412879132,0.25639511263778253,0.2133468606738666,0.24000556399024617,0.26264859580717664,0.2624361789618515,0.24150542639443282,0.22738228954697387,0.23189118047495513,0.25637248718802397,0.20304302298098187,0.249717763492254,0.29707952050201103,0.27897854982523096,0.24374043999761752,0.27706672239896557,0.2457125843374722,0.24184413992224058,0.25592112592186106,0.2780230326161136,0.18557052323593276,0.1428025147055337,0.11134932795464669,-0.055638468876544646,-0.0542791213137986,-0.056427075000019866,-0.05855547167957481,0.014472530608962067,0.09415621489996924,0.19614076587056162,0.1968404750322676,0.1589488118391323,0.22408848863162997,0.20270940515156402,0.15620092247450196,0.24618549736492304,0.24579009252066336,0.2625146683899233,0.22331369457194192,0.18209431598148135,0.1950966219869311,0.1882507374794875,0.27678178114882945,0.2413307735310221,0.16279175442153926,0.22382402577896823,0.2677305431869514,0.24590067971007726,0.19191366547116143,0.2260725317535135,0.2047180843201029,0.2112437285093811,0.2271161625542546,0.23786913505639112,0.16486014473530303,0.22376819583859522,0.24743925431716116,0.22657826698619438,0.20582895713316107,0.17149481535399452,0.14209557824401076,0.21984241870135285,0.2416334740210754,0.18030974656403959,0.10091074295965063,0.11724034458460189,0.11712797571010428,0.08904951603126379,0.13895599383524232,0.1494495958937831,0.15217017415099718,0.18700936478267666,0.18526627128531706,0.07836047381196945,0.014648764615213588,0.07980229584425577,0.03481052579568482,0.06776514075850129,0.09417942785730572,0.07424403422727814,0.06627607420999292,0.07888389020774085,0.0768384522486181,0.10991477129744368,0.09959773971832456,0.054096097711851907,0.039447877425541567,0.05813997563735383,0.06525704968678434,0.02695959433577342,0.059873147595507034,0.07876933432765276,-5.089472480322488E-4,
1500407596201,50,58,4,0.5254554225704986,0.5939972917960615,0.5520145457053645,0.5181327854726684,0.5596256699962613,0.5507536664538504,0.40529291116124605,0.485388968341102,0.5013956611793355,0.5007085595044132,0.4962088563028784,0.47582725613989807,0.41815870563068885,0.4214525328742244,0.3618029579346374,0.37957114672717396,0.4076691682155708,0.33906604583347455,0.35674429872682845,0.42923613265788196,0.4330330039382921,0.3799311951475257,0.3614634976287876,0.35429039825989667,0.32974357258501524,0.33002497989529883,0.3340064648172154,0.3571609878771341,0.3642447344654827,0.34322406878437334,0.33374070894628516,0.34084775245584753,0.3642496741082586,0.37312149469820355,0.3473153939692846,0.3126011293641347,0.3007765956082671,0.24237499468469306,0.2716838681799108,0.3405652975350589,0.3056969801992544,0.36182000997363317,0.3472156804591905,0.3764277312199915,0.3540965037387129,0.3303888564761583,0.32183367998465273,0.2965635503338163,0.2844716651954508,0.3217602531952319,0.32017440328189145,0.3427128670139069,0.36064187976206197,0.33689308732589096,0.3152201399577554,0.22540993209489066,0.21003657977332627,0.0821581389523999,0.04247876844429176,0.06554112446151276,0.06442231508538647,0.06624902185496025,0.03766015755705558,0.11786075374907487,0.17827396470271642,0.24665505890480355,0.2979715886825254,0.23628518102569335,0.30054516027407496,0.2920133633674891,0.2510474237508181,0.2665969824671316,0.27552614236890816,0.2519251547635565,0.2893135882770772,0.29986310803288657,0.30019029974339007,0.3226661637490186,0.25257752954288215,0.2183644017129925,0.2797868430959116,0.26090889005921125,0.33253284174553743,0.29138768208955346,0.2149065345934603,0.22925451386828635,0.238426191413949,0.28268269489741754,0.19342921305459668,0.20997912260034246,0.18962000433460816,0.2830604038054168,0.2906432007919094,0.28856743829064324,0.2689265038013656,0.23173769139483982,0.16812529128892956,0.25384306327068534,0.24402689856936122,0.2621255392501887,0.19072518117934023,0.2248220969077977,0.25490931498281305,0.23852196664975925,0.24100178592290283,0.24268292151163476,0.18548132856833469,0.10196108160947459,0.20913355645198578,0.13677061459679019,0.17709754956488688,0.14905638632606233,0.19254885189928136,0.16986050952723125,0.19529203148704974,0.2084227979051756,0.12674315742040615,0.16753781588695763,0.1674835126644191,0.08091886995242044,0.14682316037619544,0.032803580202771736,0.10197416752057176,0.08223758465642991,0.1050536253639828,0.043507053902025264,0.12831329390868382,0.1141660777030467,
1500407597224,48,60,1,0.648998439601866,0.7872808356502858,0.7282295082190036,0.6083330308674211,0.6354347673747419,0.6295933137689242,0.6633473497294456,0.670491596250979,0.641080675046465,0.6862667225600223,0.6539114428200336,0.5780318393747377,0.6660552399481562,0.6815053945488647,0.6374990013926085,0.6417919840884937,0.5836845619156629,0.6306050722138801,0.6283877788810506,0.6311633719180743,0.5704676957338114,0.5646398270186779,0.603038389435388,0.5963449304750743,0.5601769224331155,0.5938412675304707,0.5692306626695041,0.5095320170244547,0.44296346973260653,0.5734221295567727,0.5779807161707844,0.5337686136246049,0.5398563997480106,0.5541392495803751,0.5508253202150593,0.5696220740702417,0.5428215025772534,0.52052274490438,0.492528107821497,0.5256762012936076,0.5421433755964061,0.5319961958206696,0.5891043281138036,0.5811783852871357,0.5695713230970556,0.5443608144496874,0.4853069374519814,0.5456125303145669,0.516193529011927,0.538850902291929,0.5604104688310179,0.5721054461814787,0.4992573873427345,0.4261849211135112,0.5225900659204672,0.4966910133488813,0.35626708256304807,0.13966089912413127,0.03670976177449994,0.009152210715269482,0.024895174406968958,0.04080344538934465,0.02218298966510745,0.26202683784812575,0.38765905107607057,0.4702027335842012,0.31987736811469947,0.36298143111441017,0.4768004156964228,0.5311520842626194,0.5423725556142907,0.4675855836646711,0.5108655249112326,0.5515183314467399,0.5617835362859185,0.5278283862151206,0.43949817337466,0.48900263257929255,0.4876213265535497,0.47901305218994594,0.4818956518069739,0.4768492262377947,0.3928667589523175,0.377737949681323,0.3140235933511654,0.4126414182663173,0.43879701184323183,0.49598752118802,0.49471028682501555,0.4668776888308604,0.34410732482299367,0.4621717607539365,0.4597906873581984,0.45154161371997914,0.47593085049475425,0.43169055519138133,0.432276695971782,0.4539485935294432,0.4157622774405225,0.3217556230021478,0.37100209773425424,0.30593729272709524,0.23595561853115593,0.3222345900910451,0.1172789217825553,0.2938069397849083,0.2634823038278627,0.2947255950590389,0.25293255970225464,0.25775423581449963,0.17828112981793354,0.23037361272989978,0.1713194792111211,0.24249276645080725,0.27642971078948964,0.27236686283259093,0.23526703387156678,0.22781375754402955,0.22451863984107248,0.22013903228838486,0.1879900447947938,0.17846421329056122,0.1632306003816268,0.13982903509000724,0.10731228262120748,0.06966632202558197,0.13253112439718187,0.07315451379356294,
1500407597225,48,60,2,0.5163874129097069,0.7276795337404028,0.6613279811372222,0.5299077693969412,0.5058614024111752,0.5376812200527381,0.48814989102832707,0.4454030825509392,0.431708556414493,0.4691555598934709,0.4674970408574309,0.5121734450612104,0.4693169492982488,0.4192552717317256,0.406666253350739,0.48143096013354203,0.41040290957520326,0.3959771474060232,0.45743265182351867,0.2571919491834056,0.4301579311226149,0.45349181451529647,0.41429403855828745,0.44638913482935116,0.3556183563487807,0.37798683025364443,0.4087916468847369,0.4205038166544851,0.40303877420116685,0.39061823166442655,0.2701756586372025,0.3882338492865206,0.35314788691542753,0.38998397179277405,0.4342136934317674,0.359947662363015,0.3252362978234942,0.40240162286568426,0.43554068981774563,0.4131316967029296,0.4146003042310646,0.3523674586123623,0.4169310005245193,0.35692561731444544,0.33667710615561075,0.35739422442858293,0.4035287862656348,0.4068937741462134,0.2896663272341734,0.38258043779393924,0.36452667071381495,0.42794658351679404,0.35963322927283387,0.40912393299741223,0.3822777897852808,0.2916991200408403,0.24647303302246723,0.1240091797694511,-0.01928059766266038,-0.14492432615360654,-0.17533188374546982,-0.17024168930389355,-0.046936765397467876,0.01976870540418113,0.2135066770501522,0.2534642703213953,0.3028777589474267,0.2590053357704548,0.23614322891470355,0.27368851360052365,0.21395571711694253,0.3501125146322098,0.34259539243451853,0.39006785424516854,0.39622446563344915,0.3891889484291413,0.24113408369883155,0.31477164482965836,0.3686796568788286,0.335106075762216,0.22054727776073033,0.3595912098996076,0.3586362349577846,0.31274422511349137,0.2284707269540533,0.312171892823292,0.32931729856542646,0.2849447016962193,0.23585553493552042,0.27114748014360346,0.22454044202691642,0.2204713157409357,0.31652731136054457,0.2869849060636819,0.28133328629151905,0.28803910830024104,0.3222107627650581,0.3401289283207308,0.25585159164286686,0.24829122381727114,0.2277105953417303,0.25542230184716264,0.2714045659795413,0.19521037839477462,0.18818585197018062,0.21381128730780086,0.21177989556981247,0.1539106763097404,0.225061180241834,0.17988099825286585,0.1421031007930136,0.1280114234494127,0.16431899017726254,0.18163302921708166,0.13630962624599413,0.08745789774998929,0.04409302237287133,0.06332276369824859,0.1531516206313501,0.03702528814019677,0.11172865656338335,0.13480757313066816,0.11836997212242939,0.17980422626874387,0.06108756723266031,0.05723138454343313,0.026308696549090314,-0.0813074372426554,
