Timestamp (ms),Difficulty,Performance,Channel 1,Channel 2,Channel 3,Channel 4
1492736101635,0,0,398.54682577507316,382.41780643958003,402.8472602584329,356.246026130832
1492736101709,0,0,36.77159476263143,24.282985086015238,18.139370451783762,54.69602456611612
1492736101748,0,0,-53.32482077488598,-41.65536973745557,-53.75165850172241,-3.867622693305485
1492736101748,0,0,-103.50131068284725,-94.99232217381328,-105.89841633409932,-53.77824220038341
1492736101748,0,0,-115.3083085782973,-112.14584154543579,-122.93345974254048,-73.21414379992196
1492736101748,0,0,-114.33860370512123,-129.7740199183392,-142.5866759901707,-88.60171312021289
1492736101749,0,0,-129.18241354706265,-146.01045877010742,-160.92949727274447,-103.85614074422139
1492736101749,0,0,-162.12473645010436,-160.67607659665674,-175.84125821138716,-120.03300669538028
1492736101749,0,0,-184.05511872978113,-175.6870428341253,-188.76109171562257,-131.97083279968075
1492736101749,0,0,-185.4171814528799,-190.7481523387337,-200.66477713544393,-137.5760874025276
1492736101749,0,0,-192.0626482007929,-202.97571085912938,-210.48154379274007,-143.20894678119626
1492736101749,0,0,-235.83357904694037,-222.50514562809207,-226.56929802699003,-166.66535609317356
1492736101750,0,0,-232.36445497786906,-234.49984731870165,-236.25222710692813,-175.42428692239088
1492736101750,0,0,-228.11841898831244,-245.06356636093213,-245.0265821861835,-184.9479335003827
1492736101750,0,0,-243.49887912588053,-251.51650665670996,-251.2398494770627,-199.40896959176925
1492736101750,0,0,-260.2411816950463,-255.9508429464276,-257.3391548471389,-212.6076661498215
1492736101750,0,0,-254.4018979706869,-262.2898591102797,-266.01404286043424,-217.55749507519062
1492736101750,0,0,-240.22506520152805,-270.49567323046665,-275.16412896791826,-217.50878468014207
1492736101750,0,0,-245.91155110499454,-277.0574047326207,-280.4606813242409,-218.7959486414118
1492736101750,0,0,-265.2606875044738,-280.736626960473,-281.7767292639178,-220.6004239897676
1492736101750,0,0,-270.8167687717277,-283.86375045009765,-283.2909644845423,-220.15049010548066
1492736101815,0,0,-272.95827832375284,-299.35637253998857,-296.7416833609452,-254.4091604425398
1492736101815,0,0,-302.596509110701,-295.48112367212866,-295.8611690733714,-270.44328913128436
1492736101816,0,0,-290.9874063498437,-292.1614845399378,-296.64300327156946,-271.4735448481161
1492736101816,0,0,-274.57160155767895,-290.40607443933163,-298.95384359256064,-271.740888672907
1492736101816,0,0,-281.40969421163066,-289.0381745734285,-300.2133145189257,-275.37427936593184
1492736101859,0,0,-296.6212708485218,-287.5007391090405,-294.98937175055687,-277.89458380874083
1492736101860,0,0,-280.93511589356945,-287.4736324390227,-291.04263766171476,-274.515794159062
1492736101860,0,0,-279.75877080672274,-285.629615772198,-286.6488465689179,-275.5986992009163
1492736101860,0,0,-269.8037989900796,-262.02148312070454,-262.3743433634812,-278.38187478346435
1492736101861,0,0,-253.18266338561543,-257.0500885649766,-259.8238427167445,-274.5429955654971
1492736101861,0,0,-261.649860209868,-251.24224302817703,-253.93138215110093,-276.02949321973443
1492736101902,0,0,-179.28715002856165,-178.15987302013605,-182.46646897038238,-210.50517023294572
1492736101965,0,0,-184.31903369563977,-171.77724031922716,-172.11937790038905,-204.18630262764464
1492736101965,0,0,-147.69426943845485,-147.42566435688565,-144.5726899142037,-154.6823990730934
1492736101965,0,0,-108.08590527540201,-125.7397991043828,-123.6714507777903,-125.62799374102283
1492736101966,0,0,-116.32165568249991,-114.38905821710415,-108.66528696661813,-128.4238602128014
1492736101966,0,0,-92.73624534033704,-104.92752207552485,-95.78288526920532,-115.47794694979905
1492736102010,0,0,-23.36892919815577,-21.457078800290233,-17.20733303802038,-46.34406994010317
1492736102051,0,0,-0.29395342583912054,-14.686351507631635,-11.950714042064199,-34.130411288339694
1492736102051,0,0,-0.5323794465038603,2.059997428316912,8.127800961060274,-29.17663829815872
1492736102051,0,0,23.94826231486412,6.670329606650071,10.673968928959894,-27.010799493988536
1492736102051,0,0,33.39932166941846,14.514157663830176,15.252180163743134,-21.197997267508526
1492736102052,0,0,20.021351850319093,23.494674761475814,23.65598462621616,-16.481724363455683
1492736102052,0,0,14.019266719830384,29.783592026201113,31.78590290627824,-11.569958076656498
1492736102052,0,0,30.018122295724915,33.17372076563241,35.594987637421006,-4.815555175765439
1492736102052,0,0,43.17035036013889,37.515467493620456,36.85466100869021,0.2184487472592309
1492736102052,0,0,36.20861538926528,45.107431077534834,39.687072322256284,1.4176985807838491
1492736102052,0,0,30.357224808928038,52.98452294962228,44.31590044305554,2.2966880137503622
1492736102097,0,0,44.6941528389687,57.281862261072924,48.452700213155055,5.486828947099706
1492736102098,0,0,59.66265758272511,59.0928876653367,52.63937310086449,9.45665254326379
1492736102098,0,0,52.50666029155589,62.59359450564714,59.161717817581696,13.8046682748938
1492736102098,0,0,40.075546976002784,68.4069586812665,67.14199272086606,20.31582165189402
1492736102098,0,0,49.29976269634872,72.94024168791289,73.41966843029878,27.968681912574255
1492736102098,0,0,68.51497453274057,75.17547035924575,77.656868826232,33.36139413896327
1492736102098,0,0,68.2554788896469,78.48291248732693,82.87610974139508,36.17880489880477
1492736102098,0,0,53.7084972573085,83.67516635345,90.25464020771462,40.614002425205776
1492736102098,0,0,55.895732812863194,87.31269850464186,96.56688593560843,50.31806273400668
1492736102098,0,0,78.38853187747225,88.84261577547882,99.06660403614649,62.43444660823299
1492736102099,0,0,92.58946743606575,92.12449798542136,99.99258863815567,70.18887549735055
1492736102099,0,0,87.69173289780115,98.1755879293806,103.284883841246,72.37239442415054
1492736102141,0,0,103.14691745167357,115.04005346709519,125.73578261290763,81.02349380249444
1492736102141,0,0,120.5260333355877,115.2631248980816,130.41651883390043,89.05330550438771
1492736102141,0,0,111.94196782022038,122.6272806466107,130.03675763169133,87.70115500182024
1492736102141,0,0,122.52758653699635,130.70633851734,127.43020305337672,90.30001865627872
1492736102141,0,0,142.0312900939522,133.92678705959378,127.47163791782287,97.60139708253448
1492736102141,0,0,138.70949441328645,133.19172653836262,131.25144198642232,101.81935752258897
1492736102187,0,0,154.03248427636444,143.6131122084989,138.99729091553655,155.30882830366872
1492736102248,0,0,152.65040510019867,146.32219514768974,141.46884569002103,156.44638114879993
1492736102249,0,0,144.52236751569853,144.57157471484396,149.78500642827302,153.01709587976086
1492736102249,0,0,160.47123784770355,142.08137342385032,147.77758997538425,160.54629638646261
1492736102249,0,0,163.59369036564624,144.91561983070957,143.44077947672375,166.20661370611793
1492736102249,0,0,151.4947414456625,150.71766203292697,140.09926997507233,166.54474575752184
1492736102249,0,0,149.91096414891908,152.36745931614672,138.01144440082675,166.19613022463162
1492736102249,0,0,165.18351134034725,148.00472983019714,136.66751434432797,168.3303598668496
1492736102249,0,0,170.01364940203058,143.2439971123029,137.2055889070113,171.5683683905649
1492736102249,0,0,152.50985255691967,143.17181362123645,140.12834230595018,176.86514694864937
1492736102250,0,0,141.0837011839279,146.3488735273599,143.0298583590498,187.47604718812542
1492736102250,0,0,155.11446548769567,147.92963240304528,143.04353238854875,198.8977764564462
1492736102270,0,0,169.67031047095747,145.88597195364676,140.8576267487138,201.39041807149994
1492736102271,0,0,146.49177359622655,140.35850639907318,138.90070423503923,192.57542918305677
1492736102271,0,0,153.53661840142522,139.73730932314837,136.63091201465122,194.54193285408746
1492736102271,0,0,168.11428708937135,140.27302586416113,132.2679651168614,193.48087954557639
1492736102271,0,0,163.57543281497374,142.80617869467034,128.38696012823146,185.6702076132878
1492736102271,0,0,148.87536245953567,146.28908766222045,126.258832547316,178.56226078658793
1492736102271,0,0,151.2676012462677,146.35728097411362,124.89791377438921,179.5182077346484
1492736102271,0,0,164.7712335456895,140.73488813927764,124.34990705569382,185.19500708651242
1492736102271,0,0,158.1160197169633,132.98651777369926,125.87450847027847,187.13012558732078
1492736102271,0,0,130.25141583524018,127.8033788253878,128.18207412417695,184.74731099503313
1492736102272,0,0,116.2615017627194,126.42422628635559,127.24430899906773,183.9320038770603
1492736102312,0,0,131.28603516352547,128.23224884849574,121.70250621428656,183.9469531564956
1492736102312,0,0,140.05020011219187,133.65978047229999,112.91939706485596,170.5213754213591
1492736102374,0,0,132.1773886847509,106.51248790926543,106.92960772971097,149.33378321891794
1492736102375,0,0,112.05644268249827,98.27205070094348,103.27161601444517,146.68487780130752
1492736102375,0,0,82.53185019181512,96.61369417696088,104.42387251171013,145.3402547857613
1492736102375,0,0,72.67019502661748,96.75602667521412,102.19701596676255,142.83093017929409
1492736102375,0,0,88.61477753489288,95.6790873860246,95.36404605388243,135.00460289020708
1492736102375,0,0,100.458201152154,92.49043757435894,89.465030994743,119.51264635828105
1492736102375,0,0,90.48598110077077,89.10803041207114,88.82437850374528,101.38834697685589
1492736102375,0,0,78.80980061517589,86.83297870158232,89.81369158827795,89.18794348426968
1492736102375,0,0,84.04792393791152,84.68170588703148,86.43306323665274,86.25534478907402
1492736102375,0,0,90.32787897401292,82.07826168821994,79.21248078126848,87.19684502592537
1492736102375,0,0,78.87307162550943,80.76994745972645,73.39148686140022,83.76409424769432
1492736102420,0,0,82.23318657850099,56.39638511113135,47.866639021477546,59.169958750476745
1492736102460,0,0,69.02590978808992,55.709945134882986,41.67533909132401,48.6125932255421
1492736102460,0,0,49.80987473448872,49.24752644260882,34.5036187684141,33.92489101265297
1492736102460,0,0,59.59539507688489,43.471619781007306,35.07399643125485,38.91804278549461
1492736102460,0,0,53.89833577540967,39.82781934212059,37.00448268699238,40.47319644788361
1492736102460,0,0,38.108643295631865,40.364978563279685,36.2485845432052,33.48990418404835
1492736102461,0,0,37.109508166387926,42.814217068012596,31.288400136646032,25.723014931857332
1492736102461,0,0,49.49399237854224,43.79702471283918,25.63234000168228,25.378941541690228
1492736102461,0,0,49.459801769680524,42.23961649943884,23.110614305985038,29.378195805801102
1492736102461,0,0,33.20913583985951,38.417802969208,22.88816252164562,30.336965933114474
1492736102461,0,0,25.758553041364088,32.91046142594986,21.314817615506783,28.302585000759617
1492736102461,0,0,35.49640734886457,27.73689859869716,17.326918495952846,27.430670901298743
1492736102506,0,0,38.92106809935602,25.3824805512931,13.939718811572419,27.305115311423375
1492736102506,0,0,23.93099247445914,25.109925943773618,13.503175385426523,26.119949507982078
1492736102506,0,0,13.125819544230268,23.187813028190796,13.644814809177312,26.918288524100277
1492736102506,0,0,23.082360319623625,18.266710443559454,11.170819869378398,32.30267355140065
1492736102506,0,0,33.31817416220469,13.656510397979808,7.227513920321094,37.969212940192165
1492736102506,0,0,23.10697031178953,12.55667174116558,4.40036079430088,39.53979639972294
1492736102506,0,0,9.158838597913295,13.371338258898454,1.9057074391533781,40.703627219550775
1492736102506,0,0,14.612372852567269,12.54881560623106,-2.4131038713277846,45.73501053912061
1492736102507,0,0,26.47509708419412,10.425564562286844,-7.709867415694717,49.15673165515003
1492736102507,0,0,19.577943011230794,10.212556116896344,-10.98294836851339,43.948021775488385
1492736102507,0,0,2.486932220492527,11.725196047051305,-11.780152698977858,35.173027767549485
1492736102507,0,0,1.7026322597271246,10.789860891736389,-13.172883111808318,33.10922944591081
1492736102573,0,0,13.397409963073553,5.878478692192473,-16.7317554954842,36.91850774948908
1492736102573,0,0,-10.241245867581235,-2.13216386827758,-21.400400106225504,26.770932350874745
1492736102573,0,0,-15.61145113899834,-3.848669177851022,-23.32738112644447,17.469763583830982
1492736102574,0,0,1.840993466418162,-6.716774735910981,-27.52953263526212,16.745321214409998
1492736102574,0,0,9.761162674232416,-9.876383227581279,-31.206819611043706,21.26121650531514
1492736102574,0,0,-9.629965829917111,-11.90123215592476,-31.291950172526157,23.83493557268634
1492736102574,0,0,-27.839314179003765,-13.914592933754314,-29.58988686841687,25.33805930669203
1492736102574,0,0,-19.81775285698719,-17.470947932911656,-29.929168211763212,27.637851038103953
1492736102574,0,0,-7.098618687731076,-21.531249978069752,-32.30310104697407,24.709001235388328
1492736102574,0,0,-17.911591764620326,-23.969614711344363,-33.5814915282028,13.38124244911782
1492736102574,0,0,-36.31875879470368,-24.90238525207245,-32.669414529616674,1.9345160232637468
1492736102637,0,0,-47.17362209126865,-47.357874389587245,-26.906071008585037,-53.905533623414726
1492736102657,0,0,-68.95383396248582,-50.655660238492715,-20.887517359991584,-64.01102188711936
1492736102657,0,0,-72.8117886158106,-57.98454546692236,-17.491166474360945,-72.51644354197722
