Timestamp (ms),Difficulty,Performance,Channel,1 hz,2 hz,3 hz,4 hz,5 hz,6 hz,7 hz,8 hz,9 hz,10 hz,11 hz,12 hz,13 hz,14 hz,15 hz,16 hz,17 hz,18 hz,19 hz,20 hz,21 hz,22 hz,23 hz,24 hz,25 hz,26 hz,27 hz,28 hz,29 hz,30 hz,31 hz,32 hz,33 hz,34 hz,35 hz,36 hz,37 hz,38 hz,39 hz,40 hz,41 hz,42 hz,43 hz,44 hz,45 hz,46 hz,47 hz,48 hz,49 hz,50 hz,51 hz,52 hz,53 hz,54 hz,55 hz,56 hz,57 hz,58 hz,59 hz,60 hz,61 hz,62 hz,63 hz,64 hz,65 hz,66 hz,67 hz,68 hz,69 hz,70 hz,71 hz,72 hz,73 hz,74 hz,75 hz,76 hz,77 hz,78 hz,79 hz,80 hz,81 hz,82 hz,83 hz,84 hz,85 hz,86 hz,87 hz,88 hz,89 hz,90 hz,91 hz,92 hz,93 hz,94 hz,95 hz,96 hz,97 hz,98 hz,99 hz,100 hz,101 hz,102 hz,103 hz,104 hz,105 hz,106 hz,107 hz,108 hz,109 hz110 hz
1491177814058,0,0,1,0.12759728117849461,0.19847032070173848,0.22457599844832674,0.19819836841570776,0.21979197698296385,0.20938762728953492,0.20592675717271813,0.19554852689448626,0.17143728847558762,0.19213805489484756,0.19365306773641552,0.20235373379974306,0.18335898361946357,0.17752190037839113,0.19835712958905122,0.15797434342747596,0.1819495386460504,0.20307852600119342,0.20059429542458268,0.1920353966157232,0.18110161551191056,0.1558290821431923,0.15251771835939582,0.17737664731725727,0.19864368565537865,0.17249959006623378,0.17102932298137766,0.18514830092355958,0.17617789101855744,0.17326660471483066,0.13716401137179124,0.12963375692971743,0.15054026273099524,0.18588317546249006,0.18770718790681545,0.18466561948197843,0.15952822347116996,0.14299992070204665,0.17090445187698783,0.08374004968360872,0.15942751782060796,0.1624255903641923,0.16074460632798815,0.10220107960669338,0.13937537826698426,0.14427293086400322,0.13439669286093664,0.1824118088307402,0.16671007151289877,0.1788589025736133,0.1255279553496383,0.14626195263607364,0.16954814093023607,0.14594194994456233,0.12030740643575318,0.1479034327379026,0.13485379861852587,0.10020549056185042,0.07878100929255019,0.05712276308938512,0.06324078578905212,0.0866411193714839,0.0980840356850277,0.10723572255431375,0.12302789890089734,0.1151594782474005,0.15023513649186557,0.16502949471861672,0.16458950730343822,0.16144467924368372,0.17173166760036412,0.12174266001942587,0.11168456490664973,0.098170642155964,0.10196306263916437,0.0684155881166209,0.06664709108095711,0.13163541741811374,0.14666395332919854,0.15842967960433532,0.16432272565294198,0.16953020432487484,0.17247896439322197,0.1341095834158397,0.11351429989744588,0.10788219403334376,0.12385755291793317,0.14146832465070863,0.11222304431780397,0.16092821475109537,0.1606644404429515,0.05957082947349416,0.132726527106018,0.07808762445253399,0.0883813433973647,0.108247859127139,0.13810203392025164,0.1397155665317924,0.08040717940504585,0.09592951496088434,0.10388004468211165,0.14759607724444712,0.12776895655412415,0.09025345859059916,0.070163292808941,0.0891295739895466,0.08359685041979978,0.10742357424545516,0.0638475728957433,0.08785554402026578
1491177814059,0,0,2,0.16200811338483093,0.17878165337615848,0.19457229855738195,0.1702733006537691,0.1812028421828634,0.18031110626051078,0.13952841402280336,0.15561797895459267,0.16632883503569135,0.16020882212506476,0.14790512466713138,0.13546274398260996,0.14743136080428415,0.12210232207959097,0.12878336673075652,0.12841004704242034,0.13564852605196506,0.16627173198716644,0.1559420958085151,0.13655934050348556,0.1341975042347123,0.06870291026020965,0.1530339490795517,0.14724095010677166,0.13828064980602667,0.03780223115210355,0.1523050161470053,0.1752838009481738,0.16899059035772318,0.13456995405058364,-0.024907770415759097,0.14623602868594135,0.11171402602810152,0.13486071109314446,0.11741047242704394,0.11016002952739415,0.13032956308780927,0.1257691735834055,0.13673676333629423,0.16593738409760622,0.16496265345602884,0.14614264486124998,0.1470308570218446,0.10460643251208405,0.11270574975892574,0.10474038501545604,0.13366796129765596,0.17049055412937722,0.13379038216367553,0.08289147753220003,0.0794114793748085,0.05192996030696181,0.10267469392641901,0.10374626090252152,0.07393917784549506,0.0925111125271467,0.09597569368250225,0.11425742907726803,0.09785097375104787,0.05184297492528448,0.07308430808671336,0.08100208591493921,0.09405643405669928,0.0824556753798534,0.057470672702092454,0.12058433728439648,0.1457749911252893,0.12244604550033171,0.11735539139306975,0.12749261171485227,0.1135966346411097,0.10013808759470924,0.11985693430486288,0.09045991008030255,0.10786886192296478,0.05295941442027515,0.0975584362804427,0.09185228930162163,0.11572718539791231,0.13626075113462766,0.13559551301716072,0.07751379452139455,0.05820250661201032,0.03674591786378237,0.12259096542899153,0.14503800795976057,0.13654116986069603,0.1262460865414775,0.12065507217566787,0.1286218236017794,0.0914527278702577,0.0882964244698757,0.05567152624575437,0.11578760407875699,0.1331968432866863,0.08209323648377576,0.10125744241290395,0.057007937102059744,0.07866057652963898,0.08945990957904844,0.10891268844266944,0.11289658770731603,0.13418954769127003,0.09357781974562134,0.0810478062335115,0.10224508018708389,0.08955271553754182,0.10298248984358468,0.10310304316388393,0.06918267129283587
1491177814059,0,0,3,0.19262291937144754,0.21639939379260312,0.20346971709466372,0.07685236358734858,0.16423209210078138,0.16828218812964155,0.18194808886845604,0.16555511180770932,0.14333579888426554,0.1411037146131557,0.18239417220079707,0.17088827235342233,0.17850607664406842,0.18074097429868857,0.16254266599197703,0.11889349086478454,0.1079797747122578,0.13595274871775626,0.1413550856700984,0.07116945596273537,0.10057181931297773,0.15494816301753184,0.17685538884402083,0.19326838006128894,0.15768630617103058,0.1655518818345752,0.15729142147957684,0.15706827470152934,0.17624896495888864,0.16453435857296173,0.15472446895035874,0.10563953192887363,0.11346157796212157,0.07753776620672372,0.1353969452998756,0.15532707602337728,0.16208347264279607,0.10856018232877673,0.10108336218155729,0.13217750194292402,0.06120365757314755,0.12555027443221595,0.13390470767111984,0.15922680695682795,0.11308245123874586,0.11201084552144033,0.0762223120648216,0.12144056486513044,0.1281508440283603,0.09876504785424826,0.13978675020188708,0.16681399348078746,0.1473934980972057,0.13369833050011587,0.1343243753514181,0.11957969790483577,0.12136032649767606,0.1110831613084291,0.10142377087550307,0.09832884815385239,0.06695261389641625,0.05871369316166446,0.12262498111602864,0.12010321529542134,0.13653881776801294,0.13605731755600542,0.14383566637194783,0.09775693296617381,0.06588361159454578,0.06847494125961819,0.13246839547692166,0.11693667700898722,0.14775086329082512,0.13265455247197494,0.1291762075287057,0.06146941614739645,0.12615688705641045,0.12806499436355942,0.14448364880348788,0.14351162277836896,0.11597924186258748,0.1260984757569252,0.13036833646393636,0.11578039996927172,0.13683631205830513,0.1473984384831722,0.15402166263213946,0.15117116035305947,0.15556789514266237,0.08162461808372694,0.12242200137824044,0.1530879044398256,0.16133909993114448,0.15312583021942877,0.15430714884832222,0.13358427634083841,0.1325469609028305,0.13893705845451615,0.14279491683268977,0.057621829102349385,0.06494399069726864,0.1288032350411304,0.13656024030921077,0.12309448792285779,0.11430048653988123,0.1282905412953933,0.12190914285499774,0.065446571336522,0.07716851544261695,0.10060674259790273
1491177814060,0,0,4,0.22750924485774,0.2540209415212652,0.23995471969633347,0.19131915456961973,0.20770192500755846,0.19866212759647792,0.17307358151465038,0.1348670879038431,0.1885259906861585,0.11738011819490934,0.1660316016224665,0.20339953781898604,0.15832769288162224,0.20180020017863637,0.17737490435176526,0.17829902197300423,0.1758990755570066,0.17033621561198742,0.1502605776656022,0.15082736009819944,0.1372851060581342,0.15012471081770065,0.09032937219935015,0.15668655843468152,0.17792182725945282,0.13899023155402884,0.09876659532646584,0.13653521255601417,0.10705050092069761,0.13306585305659518,0.1748989913865958,0.1740867210649304,0.12762326061013712,0.12137669284305148,0.09836979946620562,0.11598866029035974,0.13397871167911676,0.15826203693845212,0.11415255648289846,0.09806858114675389,0.1341447669515993,0.10345177164038488,0.14317055725053068,0.14875369792872295,0.164172148669468,0.11693138767299567,0.13708488199341923,0.09733775473647716,0.15261522302997302,0.17405475262783757,0.13988197102861902,0.14100824114654817,0.13711629468755585,0.13228359232963832,0.12702438829968818,0.10352961512640031,0.11544711780037517,0.08257650585581192,0.08893013009581299,0.08014056995546477,-1.4308024758058618E-4,0.09586389794858809,0.10980116118005714,0.11997171504687106,0.1396066185708991,0.1270522329673203,0.008592828287953663,0.13469309566227441,0.09892630689466311,0.17216006809657233,0.17559554522814985,0.1314731511947524,0.03626436907986102,0.16401580477266473,0.12726233758418062,0.11126324827764252,0.11324962146390964,0.12269016174325338,0.14947409117692492,0.15710090267447943,0.10110473251304104,0.10623647397582811,0.09165672027089038,0.09117819593304351,0.13464483184637194,0.1236255634356354,0.14644933164955282,0.15993272100964484,0.12901739767983456,0.1434034328362523,0.136619469915956,0.131087988704702,0.13709322245458538,0.09429230107323702,0.10229720201748013,0.12407379692609417,0.13207750616985,0.10821300428662006,0.14596969466172932,0.11126889969295002,0.061380559383505916,0.09492473857392611,0.11709328808412622,0.10821483779301155,0.11876438497685864,0.1430157929462817,0.06411776252847731,0.13776704050266023,0.13649006435230698,0.11864183617924637
1491177816120,0,0,1,0.41271276880275654,0.4958536392135414,0.514355418887213,0.44367269880366517,0.45806640773528284,0.47653354535520337,0.462434465033928,0.43020906278711424,0.3847432583547097,0.3628990640220689,0.40045137262662694,0.4132431685055022,0.3908673002039132,0.40409973687766276,0.41381386281995364,0.37809630798281646,0.40245937381484975,0.4148539229933562,0.4094869408349432,0.40504010939314733,0.33833044453842337,0.3656575381819345,0.34889823295610356,0.35076547920604967,0.39318304388269076,0.343640366133587,0.33999716248503775,0.3732724474385609,0.34253340684168,0.3517776150006165,0.3310666440850875,0.3254563844975117,0.3311096424743588,0.3641615827748602,0.38578457715915276,0.3354416106152455,0.36066364370985715,0.3459944701265315,0.36070304812589343,0.2710975463696102,0.35196057664699965,0.31497043887213394,0.3342445782604152,0.2649854065631971,0.30295878217574473,0.31351826284258605,0.3041020819009348,0.37297732091970826,0.32978868751798046,0.35661195055948336,0.29433085633618544,0.29470151527169897,0.33519870279186953,0.3276957337645977,0.27497821904921016,0.2945277069791416,0.2231246142919204,0.24830192478723764,0.17355662272354425,0.16091177194933284,0.16642814043777535,0.19857817279821713,0.18998758676427557,0.24769396253153228,0.2545569242039322,0.258790309298632,0.3044493590130865,0.32192409173877684,0.3096706488977615,0.31063391703467913,0.36475285091323906,0.30400010250094506,0.2641790658666402,0.2550786960773908,0.21548847498487772,0.21645573674272317,0.20203538736556123,0.2792668628452956,0.3025852498542795,0.2937700963056441,0.33340010721643826,0.31406762993404724,0.3082659739241641,0.20511182100493644,0.21677452873646325,0.21634822636067588,0.264639396734093,0.3116138523872928,0.27129040811380645,0.2508751628071798,0.26683154655400304,0.18665350269871403,0.29947328277353813,0.25577868345733823,0.2573609145568293,0.23377283634373133,0.28451946381761967,0.28354843836753096,0.1915115295329936,0.21982989131483066,0.24217659173554024,0.26033410437998245,0.2559019759816725,0.23290996547490642,0.15567185531607208,0.1696918769369628,0.18935992153917627,0.2347176813508065,0.16914824152325678,0.10476057374988008
1491177816121,0,0,2,0.3694404641864163,0.4300197407493095,0.44589170188500005,0.40204677131234,0.4134109897926276,0.3913957514362805,0.3071656318803506,0.3725751721178031,0.3952821096421979,0.3452239913955313,0.2875308495586668,0.2734034937796121,0.29794711920660505,0.29579479913852397,0.3130199246087427,0.2975988126646897,0.2823694660858022,0.34962568957765494,0.2668016332827125,0.30023256428224704,0.2993165943246403,0.23776525593127498,0.34140751415468096,0.30356916805052114,0.290062483091621,0.18590230868663998,0.31054816117016165,0.35453490689763767,0.3441951979369553,0.27805857454434435,0.12061839627248092,0.3101609692136635,0.24669374364575197,0.22230401182842208,0.23899519931427493,0.19691797302531722,0.2834033956857591,0.2732831073322258,0.27222825646531396,0.2778161884635456,0.2567686360463404,0.2940424188950351,0.30695313744150277,0.2222905514506614,0.1668659442088368,0.2066870671024023,0.2748724588236292,0.3372573039621243,0.2756674150875345,0.1918505763798815,0.1435696394356011,0.1919157293717138,0.2590849585871965,0.2444818553258526,0.1956656529019881,0.17631743740896125,0.1739325639514488,0.1881473997773819,0.1757660262997384,0.1635156634994086,0.15562742216004213,0.19019106415155546,0.18254373742992708,0.1957611973825543,0.17747577687975996,0.25438177468335904,0.2841430493444711,0.2564073690543809,0.22930512425454821,0.26488019867817314,0.26517397907257295,0.2039419844841565,0.2406975846418113,0.18463931456205182,0.20712704223114367,0.16075573150205819,0.22858411756194358,0.2115309246128692,0.2515673780212758,0.23505611301928467,0.24668614254508991,0.20862806696574276,0.18999061866035155,0.14205794243899067,0.23670620005802698,0.24665187800398786,0.2339154256732292,0.2017427720943365,0.20464542425228846,0.22899478917827237,0.1940612740094175,0.19278738505815962,0.13131917555564804,0.20717078181397772,0.23554311712817028,0.1970873343484238,0.19962579813238773,0.1503249315310197,0.13434437856009226,0.180358364015129,0.18873102325266394,0.21855473429611924,0.20903936458451639,0.17667526587008733,0.17058184070739407,0.21557651498884853,0.2048686180095995,0.2070043862591812,0.19132842238426195,0.18828629091024526
1491177816122,0,0,3,0.37911682134011004,0.46126703469169045,0.45865755473947356,0.30448767239329666,0.3791998028062278,0.38989269230143464,0.4000752237415083,0.3678972157166907,0.36315831419556555,0.3371340711093458,0.3417992013900439,0.34215689280615846,0.35336128085116647,0.3499547999033427,0.3527026975415827,0.28952320502551465,0.2943488280123214,0.28760900943519624,0.3118604692155559,0.23969501960783246,0.28989267572675725,0.3368713155170063,0.2945231259927338,0.38685515934480075,0.33888720884093837,0.30355969415137735,0.34393236302163216,0.3520433300116653,0.36067517961016154,0.32121266074396393,0.3181757655796769,0.23777486101260403,0.29016053238536166,0.2479714426839507,0.30439385698213817,0.32239209142224956,0.3236996525046453,0.24596622435693077,0.20999291820832125,0.18518747682936337,0.16366233658310997,0.24045175387402445,0.2965574914567101,0.3321379034019286,0.24315349145398796,0.2947350855720382,0.23727744237603826,0.26860321204997656,0.2979970951128615,0.27478691275264905,0.25415815284619897,0.3038236358308019,0.25577954887384635,0.2533794100319898,0.2738482656544695,0.22327328733680493,0.2532805494528957,0.24158936120634386,0.2090975863770172,0.21484436238579258,0.1544656918549776,0.18785306389532588,0.2628757264758881,0.24376787342937423,0.24352795049554907,0.25989765876966553,0.27766961571685456,0.1895823392932575,0.1693471247803146,0.20251578106898754,0.25598084605779725,0.2327468479946803,0.253608615220261,0.27184927473436493,0.29111292100240854,0.15660767961466693,0.2903730758049875,0.2655961417220852,0.2723511168406258,0.2812131417741431,0.2521052479952909,0.18648449752330665,0.24246401245950677,0.25139148307944714,0.27450637131162414,0.2025000899424561,0.24123682002046606,0.27643354896570893,0.27055534444359264,0.1709791749884662,0.23545000220207113,0.2916487008273114,0.3034965975723539,0.29619400135333696,0.28952441716948024,0.2234461715901232,0.22916824210321676,0.23668978459535875,0.2728165364900587,0.19413068461244387,0.17373585248480075,0.24401938431279063,0.256255764908378,0.22904251448722693,0.17616648049425937,0.2545018254887751,0.2604007115275208,0.1929347714682324,0.14798364755233168,0.226241034228704
1491177816123,0,0,4,0.5027691533550092,0.5448747778311043,0.519312888994844,0.448192498984289,0.4683211355944506,0.4609557126359193,0.40312438789845684,0.3593816643239992,0.40946840617460845,0.33698752905014145,0.39101867288091785,0.4194377301656108,0.3311310678337675,0.3809597544188186,0.3977087461419701,0.40068841678952644,0.38927638134426673,0.36348258417363843,0.3042538446956555,0.2925913850252481,0.33687375160518285,0.36120442445200734,0.2905543458225245,0.34616188433655176,0.33392332046275486,0.26100319928323223,0.2661345463270556,0.24163455967939135,0.28938062558335603,0.3051430921597045,0.3339155392469221,0.3572939695788687,0.32098138696879347,0.3057675082841404,0.2954336330595573,0.24135326852488212,0.3052260976208213,0.3048717024451233,0.2893116693132515,0.21049589505276928,0.3056709117272678,0.25950744224023037,0.29037504653997537,0.2673167600000485,0.23732884799882034,0.2659399022189054,0.30182480613005613,0.2579341912640253,0.325410491715241,0.3659107808259753,0.33170985917657597,0.2902997389508291,0.23482500557319463,0.24499784940066932,0.22073014245263184,0.2407787160785852,0.21763464601266605,0.17891175586682528,0.2304430612960985,0.2102148611370147,0.07793422445899227,0.21301271768641322,0.24864676496579147,0.26796362429881204,0.2459783359975362,0.29934830268944557,0.18027375011481264,0.30860965116480454,0.2638647117456547,0.32864577836034803,0.3685212545371884,0.28066208967434897,0.19750383058482449,0.3387799488809305,0.2864259011233321,0.23766860739306148,0.2849727871116173,0.30174108167483976,0.32213995407050405,0.3010327423034661,0.22883088916088096,0.22032484037552874,0.23411447445066305,0.2400505941070517,0.29951229934270607,0.2660883960601814,0.2678800120564209,0.2741473781950548,0.238040130079162,0.272499702579339,0.2818474192749297,0.2886592147983071,0.316063335970842,0.2676112287414821,0.228962371959787,0.25539915084174397,0.2771002329207121,0.2498841570266932,0.28749549201024366,0.2341782352871408,0.18008275038051003,0.24208570997930728,0.22372965548058862,0.1978694203551979,0.14113945726849317,0.20391823707018567,0.1562525759212717,0.25416218950990166,0.2690004420091488,0.24235810984001988
1491177817141,0,0,1,0.5452339245504408,0.6490838150198713,0.7636854116263831,0.6544720928775917,0.6726139419157275,0.6459047318263702,0.6715265849799399,0.6484348545576333,0.5938524854692481,0.5718936649128775,0.6158668679042935,0.6273298812155411,0.5704767520155385,0.5832691423284158,0.6057771566856239,0.5683469479534529,0.5975217989891394,0.6035097061669837,0.6028551373991923,0.5973315188794031,0.5253448669156464,0.5572964660949551,0.5486265078269259,0.5606958814056455,0.6042730548193125,0.43263298831406305,0.5428579901701698,0.5588905456157313,0.5166848933084247,0.4994986460291447,0.5334622454170098,0.5190068126608057,0.43661037105608236,0.5431191664756356,0.5479105005810213,0.5211435578271855,0.5584294651991295,0.5257476962174341,0.5044622484404091,0.4701707874379716,0.5561181562072155,0.49017849702196836,0.5092779296853962,0.3819569878990558,0.5035852650060573,0.47812612389119485,0.45660683073442804,0.5229219218122687,0.5074242060438586,0.5416987812046822,0.4499051419254004,0.41804958057059194,0.49325588823775385,0.4737766682635532,0.39160761508973324,0.44867535542948406,0.3922778731153876,0.40308344454746886,0.31062004677333155,0.2857811067856354,0.2820426287295559,0.32779578782245195,0.3210811962818116,0.38243963950181487,0.3941734301320511,0.4145181542191647,0.45596053083283017,0.4208394714007146,0.4305429346172495,0.44620957904817643,0.5287647744932653,0.46167579101449147,0.4400873975602158,0.36628831103734216,0.3862732908993408,0.3748646170045395,0.32894913722951996,0.3731063776983647,0.425136234891606,0.4252077394349575,0.4748199411930587,0.459133427799199,0.4258871075844256,0.3009230994108877,0.35479068423422777,0.3717739665094597,0.42353912280874334,0.4857604624194571,0.43333786680669206,0.42928724940703644,0.4358618585485357,0.31969866663195834,0.46746344280630436,0.43981216224888575,0.35810206087150454,0.39361249174885826,0.43375295051356855,0.4334108762736631,0.34455462000810977,0.3598756289131634,0.3816911830719613,0.4094705203148326,0.38993275598170973,0.38060489140653153,0.2910431150526794,0.2966797031207088,0.31237860886239754,0.35033418309170744,0.2951106654991764,0.1996786078744237
1491177817143,0,0,2,0.5566452960106394,0.6351906800390408,0.6082376809151487,0.5794993881431811,0.5828103067121593,0.562850115785239,0.4812609476919848,0.4987773498721723,0.5695122815042502,0.5066780031547499,0.4573048947937105,0.44827196174721157,0.4618885853124347,0.42862414909056745,0.46614764773932915,0.4151055986596851,0.41438832648913754,0.4992463130615111,0.35061691876662454,0.45676026235739486,0.4556300588063813,0.3247480828422014,0.5019386906988034,0.3954465825020018,0.4458505357537145,0.3520401583232616,0.4337560604099819,0.51832075073687,0.492915382242561,0.4188623324836899,0.26226661127128836,0.45181506710151753,0.3873468452630299,0.3235576781504766,0.36696197389471474,0.3068540536346327,0.40074915037922176,0.4005997069346079,0.43594924114513073,0.40621034786200827,0.4067707232418879,0.43153238382807413,0.4081580453738926,0.3693398406602806,0.2873504098219925,0.31074924385024477,0.4205581700656145,0.46023608726021675,0.39427459696805356,0.3243479861466426,0.24610338287663494,0.3097844719017185,0.3811241515638032,0.32928378179796153,0.29828267966948174,0.3061721689312294,0.27656721558570124,0.2381784363858003,0.26452180145594645,0.2621496523482253,0.24774549504944815,0.2630749538709643,0.29257445391765013,0.3107537223052456,0.30485098880855316,0.3789594205014827,0.3861605783276417,0.3545929556410514,0.35357130222753164,0.34709513957719146,0.3360849977054406,0.3184459103990438,0.3417241664881174,0.3032561356104868,0.30126458514571186,0.18473076549030337,0.3274218416745809,0.3325219010961399,0.3734043084760777,0.3425376317914338,0.38271889204735743,0.3483400361185994,0.3310247152429181,0.2372291951353807,0.3352104602930059,0.3487484232251106,0.35447878635246255,0.31025805183634103,0.3054470366207434,0.3568429507317655,0.3246293548448621,0.2983102864603346,0.24400972721741163,0.33597795469766834,0.3726928920162546,0.33444665808471397,0.3368061442863698,0.2658779513837616,0.2166159314751515,0.28962590502674274,0.2616167722368823,0.31130820246642305,0.26556409035008965,0.2998116368709048,0.2567907415452772,0.29040615582801155,0.2846727769515421,0.23979943645015883,0.267230451643709,0.27073727695436245
